"(Mva,Btag WP, Category)",Slope Signal,Slope MTt,Events Signal bin 9,Events signal bin 10,Events signal total,Events Mtt bin 9,Events Mtt bin 10,Events Mtt total,Events bkg bin 9,Evetns bkg bin 10,Events bkg total
"0.6, 0.5803, 1",1.38E-05,3.44E-05,3.84492,0.384492,7312,2.65663,0.308359,93684,0.773183,0.448648,319
"0.7, 0.5803, 1",1.72E-05,2.48E-05,3.07594,0,5275,1.68411,0.213479,67965,0.548859,0.448648,136
"0.8, 0.5803, 1",1.16E-05,1.43E-05,1.92246,0,3082,0.853916,0.0711597,40314,0.548859,0.224324,44
"0.6, 0.8838, 1",6.24E-06,1.42E-05,1.53797,0,3024,0.972516,0.0237199,39701,0.548859,0,33
"0.7, 0.8838, 1",3.85E-06,1.04E-05,1.53797,0,2211,0.664157,0.0237199,29203,0.548859,0,19
"0.8, 0.8838, 1",2.88E-06,8.24E-06,1.15348,0,1315,0.379518,0.0237199,17754,0.548859,0,9
"0.6, 0.5803, 2",2.08E-05,4.72E-05,4.9984,0.768985,10208,4.19842,0.450678,129224,22.6823,10.1694,1479
"0.7, 0.5803, 2",1.33E-05,3.38E-05,4.22942,0,7333,2.68035,0.284639,93261,11.0667,5.19687,673
"0.8, 0.5803, 2",1.32E-05,1.93E-05,2.69145,0,4246,1.28087,0.0948796,54913,2.09523,4.42368,198
"0.6, 0.8838, 2",1.76E-05,3.81E-05,4.61391,0.384492,8329,3.01243,0.237199,105336,1.99501,0.773183,534
"0.7, 0.8838, 2",1.22E-05,2.76E-05,3.84492,0,6000,1.92131,0.166039,76554,1.22183,0.773183,274
"0.8, 0.8838, 2",1.10E-05,1.60E-05,2.69145,0,3521,1.04368,0.0237199,45429,0.773183,0,78
"0.6, 0.5803, 3",4.42E-05,6.85E-05,16.5332,1.15348,22110,9.60656,1.04368,281102,166.9,33.8881,7230
"0.7, 0.5803, 3",3.94E-05,6.06E-05,14.6107,0.768985,19629,8.25452,0.925076,250409,110.253,18.7072,4940
"0.8, 0.5803, 3",2.98E-05,7.32E-05,11.9193,0.384492,16105,6.40437,0.664157,204744,57.2809,15.8149,2832
"0.6, 0.8838, 3",5.25E-05,4.00E-05,5.76738,0,8965,2.79895,0.237199,114122,6.76713,0.224324,622
"0.7, 0.8838, 3",4.72E-05,3.58E-05,5.38289,0,8001,2.46687,0.213479,102426,2.66799,0,458
"0.8, 0.8838, 3",1.06E-05,3.93E-05,4.61391,0,6617,2.03991,0.118599,84584,1.99501,0,279
